CoordenadorID;Nome;Afiliacao;RefID;RefNome;Estado
850846128967798;Manoel Henrique Reis Nascimento;Instituto de Tecnologia e Educação Galileo da Amazônia, ITEGAM, Brasil.;7279183940171317;Manoel Henrique Reis Nascimento;Amazonas
2834405436222065;Rui Carlos Zambiazi;Universidade Federal de Pelotas, UFPEL, Brasil.;2834405436222065;Rui Carlos Zambiazi;Rio Grande do Sul
9171815778534257;Luiz Satoru Ochi;Universidade Federal Fluminense, UFF, Brasil.;9171815778534257;Luiz Satoru Ochi;Rio de Janeiro
6747136646016870;Tiago Alessandro Espinola Ferreira;Universidade Federal Rural de Pernambuco, UFRPE, Brasil.;6747136646016870;Tiago Alessandro Espinola Ferreira;Pernambuco
9366427824416484;Aratã Andrade Saraiva;Universidade Estadual do Piauí, UESPI, Brasil.;9366427824416484;Aratã Andrade Saraiva;Piauí
3373541964910904;Luiz Henrique de Campos Merschmann;Universidade Federal de Lavras, UFLA, Brasil.;3373541964910904;Luiz Henrique de Campos Merschmann;None
8583462151923968;Fuad Mousse Abinader Junior;SIDIA INSTITUTO DE CIENCIA E TECNOLOGIA, SIDIA, Brasil.;757666181169076;Fuad Mousse Abinader Junior;None
5317074159250496;María del Rosario Girardi Gutiérrez;Universidade Federal do Maranhão, UFMA, Brasil.;5317074159250496;María del Rosario Girardi Gutiérrez;Maranhão
1461416649933311;Alexandre Acácio de Andrade;Universidade Federal do ABC, UFABC, Brasil.;1461416649933311;Alexandre Acácio de Andrade;None
5539599537097451;Pedro André Carvalho Rosas;Universidade Federal de Pernambuco, UFPE, Brasil.;5539599537097451;Pedro André Carvalho Rosas;Pernambuco
8153656785826563;Genilson Valotto Patuzzo;Universidade Tecnológica Federal do Paraná, UTFPR, Brasil.;4222504207805706;Genilson Valotto Patuzzo;Paraná
7428764744607826;Elisabete Adami;Fundação Armando Alvares Penteado, FAAP, Brasil.;7428764744607826;Elisabete Adami;None
5098313138514050;Rosa Maria Vicari;Universidade Federal do Rio Grande do Sul, UFRGS, Brasil.;4835965044336330;Rosa Maria Vicari;Rio Grande do Sul
1438044221630918;Mayra Luiza Marques da Silva;Universidade Federal de São João Del-Rei, UFSJ, Brasil.;1438044221630918;Mayra Luiza Marques da Silva;None
