LattesID;CoordenadorCitado;AnoInicio;AnoFim;Titulo;Assunto
7279183940171317;Manoel Henrique Reis Nascimento;2020;2020;Estudos das aplicações dos Sistemas de Inferência Fuzzy na tomada de decisões;Inteligencia Artificial
2834405436222065;Rui Carlos Zambiazi;1997;2003;Utilização do programa Rede de Inteligência Artificial ( Artificial Neural Networks) para prever a estabilidade de óleos vegetais;Inteligencia Artificial
9171815778534257;Luiz Satoru Ochi;1989;Atual;Bolsista de Produtividade do CNPq-CC;Inteligencia Artificial
6747136646016870;Tiago Alessandro Espinola Ferreira;2012;2015;Estudo e Desenvolvimento de Sistemas Quânticos Inteligentes para Previsão e Análise de Séries Temporais;Inteligencia Artificial
6747136646016870;Tiago Alessandro Espinola Ferreira;2011;2015;ESTUDO E DESENVOLVIMENTO DE SISTEMAS QUÂNTICOS INTELIGENTES PARA PREVISÃO E ANÁLISE DE SÉRIES TEMPORAIS;Inteligencia Artificial
9366427824416484;Aratã Andrade Saraiva;2017;2018;Sistema multi-agentes para limpeza, monitoramento e  conservação;Inteligencia Artificial
3373541964910904;Luiz Henrique de Campos Merschmann;2020;Atual;Desenvolvimento e Aplicação de Técnicas Computacionais para Análise de Dados de Mídias Sociais;Inteligencia Artificial
757666181169076;Fuad Mousse Abinader Junior;2002;2004;Especificação e Verificação de Sistema com Técnicas de Inteligência Artificial;Inteligencia Artificial
5317074159250496;María del Rosario Girardi Gutiérrez;2001;2002;MaAE - Engenharia de Aplicações Multiagente;Inteligencia Artificial
1461416649933311;Alexandre Acácio de Andrade;1998;2008;Inteligencia Artificial aplicada na Automação Industrial;Inteligencia Artificial
9435775893293949;;2004;2005;PROGRAMA BIC FAPERGS 2004;Inteligencia Artificial
6325302830524601;;2018;Atual;Learning Machine: Sistema de Interação de Aprendizado com as pessoas;Inteligencia Artificial
9188623629657549;John Williams;2020;Atual;Surface mapping using AI;Inteligencia Artificial
5539599537097451;Pedro André Carvalho Rosas;2022;Atual;PRISMA ? Desenvolvimento De Soluções De O&M Em Centrais Eólicas E Solares Com Inteligência Artificial;Inteligencia Artificial
4222504207805706;Genilson Valotto Patuzzo;2022;Atual;SIEMCI - CYTED;Inteligencia Artificial
7428764744607826;Elisabete Adami;2021;Atual;O uso da Inteligência Artificial no Mundo do Trabalho em Tempos de Pandemia ? a Integração das Pessoas à Organização;Inteligencia Artificial
416601437290797;Rosa Maria Viccari;2007;2009;OBAA - Objetos de Aprendizagem Baseados em Agentes;Inteligencia Artificial
4835965044336330;Rosa Maria Vicari;2008;2010;FEB Federação de Repositórios Educa Brasil;Inteligencia Artificial
1438044221630918;Mayra Luiza Marques da Silva;2016;2018;Estimação do crescimento e da produção florestal utilizando random forest e redes neuro-fuzzy;Inteligencia Artificial
4050543429604952;Amadeu Sá de Campos Filho;2019;Atual;O Uso das Tecnologias Educacionais no Processo Ensino-Aprendizagem na Área da Saúde;Inteligencia Artificial
5760364940162939;Rosario Girardi;2000;2004;Projeto MAae;Inteligencia Artificial
